Team,G,MP,FG,FGA,FG_PCT,O_3P,3PA,3P_PCT,2P,2PA,2P_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,D_FG,D_FGA,D_FG_PCT,D_3P,D_3PA,D_3P_PCT,D_2P,D_2PA,D_2P_PCT,D_FT,D_FTA,D_FT_PCT,D_ORB,D_DRB,D_TRB,D_AST,D_STL,D_BLK,D_TOV,D_PF,D_PTS,NET_RTG,O_REL,D_REL
Memphis Grizzlies,82,19780,38.9,89.3,0.435,13.2,38.3,0.346,25.6,51.1,0.502,16.3,21.3,0.764,11.1,32.1,43.2,25,8.3,6.2,15.3,19.3,107.2,41.8,88.1,0.474,13.6,35.9,0.378,28.2,52.2,0.541,17.2,22.1,0.779,10.8,35.4,46.2,26.9,8.3,6.6,15.3,19,114.3,-7.1,-8,0.9
Miami Heat,82,19755,41.2,88.7,0.465,12.9,34.9,0.37,28.3,53.8,0.527,18.7,22.8,0.818,9.7,34.1,43.8,26.7,7.8,3.5,13.1,17.9,114,41.6,89.1,0.467,13.4,38.1,0.353,28.2,51,0.553,15.5,19.9,0.78,9.6,34.7,44.3,27.4,6.9,4.9,14.2,19.6,112.2,1.8,-1.2,3
Milwaukee Bucks,82,19805,42.9,88.1,0.487,14.1,37.9,0.373,28.8,50.2,0.574,18.4,23.8,0.774,9.4,34.6,43.9,26.4,6.8,5,12.8,19.1,118.4,43,91.4,0.47,12.5,35.1,0.356,30.5,56.3,0.541,17.3,21.4,0.807,10.2,33.5,43.8,26.3,7,4.2,12,19.1,115.8,2.6,3.2,-0.6
Minnesota Timberwolves,82,19805,42.2,87,0.485,12.9,33.5,0.387,29.3,53.6,0.546,18.2,23.5,0.777,9.6,35,44.6,27.3,8.1,6.2,14.5,19.3,115.6,39.9,88.8,0.45,11.7,33,0.354,28.2,55.8,0.506,17.5,22.4,0.781,10.5,31.9,42.4,25.1,7.7,4.6,14.5,20.3,109,6.6,0.4,6.2
New Orleans Pelicans,82,19705,43.3,89.1,0.486,12.7,33.3,0.383,30.6,55.9,0.548,18,23.3,0.771,10.6,34.2,44.8,27.5,8.5,4.7,13.3,18.8,117.4,41.3,89,0.464,13.8,39.5,0.349,27.5,49.5,0.555,16.6,21.1,0.783,10.3,32.9,43.2,27.3,6.7,5.3,14.5,18.7,112.9,4.5,2.2,2.3
New York Knicks,82,19730,43.3,92.9,0.465,13.8,37.5,0.369,29.4,55.4,0.531,17.8,22.9,0.78,13.3,34.1,47.3,25.5,7.8,4.3,13.9,18.5,118.2,42.2,89.8,0.47,13.1,35.9,0.365,29.1,53.8,0.54,15.8,20.7,0.764,10.7,31.8,42.6,26.8,7.1,5.5,13.8,20,113.4,4.8,3,1.8
Oklahoma City Thunder,82,19805,44.3,88.9,0.499,13.2,34,0.389,31.1,54.9,0.567,17.6,21.4,0.825,8.8,33.1,41.8,27,8.4,6.5,12.6,18.8,119.5,40.4,88.9,0.455,13.4,37,0.361,27,51.8,0.522,18,22.8,0.789,11.7,32.7,44.5,26.8,7.1,5.1,15.6,18.8,112.1,7.4,4.3,3.1
Orlando Magic,82,19780,41.5,87.2,0.476,11.3,32.1,0.352,30.2,55,0.549,19,25.1,0.759,10.8,32.6,43.4,25.3,8.4,5.3,15.1,20.3,113.4,40.9,86.2,0.474,11.8,33,0.358,29,53.2,0.546,17.8,22.8,0.78,9.1,31.8,40.9,24.5,8.3,4.7,15.4,21.4,111.3,2.1,-1.8,3.9
Philadelphia 76ers,82,19780,42.3,91.2,0.464,12.3,34,0.363,30,57.2,0.525,19.9,24.1,0.826,11.3,32.5,43.8,25.4,8.6,6.1,12.2,20.7,116.9,41.3,88.3,0.468,12.2,34.4,0.354,29.1,53.9,0.541,19,24,0.791,11.2,34.1,45.3,26.7,6.3,6.3,14.9,18.9,113.8,3.1,1.7,1.4
Phoenix Suns,82,19780,43,87.2,0.493,12.6,33,0.382,30.4,54.2,0.561,19.1,23.6,0.808,10.3,34.3,44.6,27.4,7.5,6.1,15.1,18.2,117.6,42.5,91.7,0.464,13.3,36.4,0.364,29.3,55.3,0.529,16.3,21,0.774,11.1,30.7,41.8,26.6,8.5,4.6,12.9,19.9,114.6,3,2.4,0.6
Portland Trail Blazers,82,19880,40.1,91.3,0.439,11.7,33.8,0.345,28.4,57.5,0.494,16.5,20.9,0.791,12.9,30.7,43.5,23.5,7.8,4.4,15.5,20.5,108.3,43.3,88.2,0.491,11.9,33.9,0.351,31.4,54.3,0.578,19.1,24.1,0.792,10.8,33.9,44.6,27.6,9.1,6.6,14.6,18.2,117.5,-9.2,-6.9,-2.3
Sacramento Kings,82,19855,43.5,91.2,0.477,14.4,39.4,0.366,29,51.8,0.561,15.6,20.9,0.745,10.9,33.3,44.1,28.4,7.6,4.2,13.2,20,116.9,41.8,87,0.48,13.1,33.9,0.387,28.6,53.1,0.539,18.5,23.1,0.8,9.1,33.5,42.7,27,7.4,4.5,13.9,18.4,115.2,1.7,1.7,0
San Antonio Spurs,82,19830,41.2,89,0.462,12.4,35.7,0.347,28.8,53.3,0.539,15.3,19.6,0.782,10.2,33.3,43.4,29.3,7,6.2,14.9,16.9,110,44.1,90.6,0.487,12.4,33.4,0.373,31.6,57.2,0.553,15.8,20.1,0.784,10.3,34.2,44.5,27.5,8.8,4.5,13.1,17.6,116.4,-6.4,-5.2,-1.2
Toronto Raptors,82,19805,42.3,89.7,0.471,11.5,33.1,0.347,30.8,56.6,0.543,16.3,21.6,0.756,10.9,31.8,42.6,28.5,7.7,4.7,14,18.4,112.3,44.7,91.1,0.491,13.7,36.3,0.376,31.1,54.8,0.567,15.6,19.8,0.789,11.2,34,45.2,28.6,7.3,5.8,13.9,18.1,118.8,-6.5,-2.9,-3.6
Utah Jazz,82,19805,41.9,89.8,0.467,12.9,36.5,0.354,29,53.3,0.544,18.7,22.6,0.83,12.2,33.2,45.4,27.2,6.5,5.6,15.7,18.6,115.5,44.5,91.5,0.487,14.8,37.4,0.395,29.7,54.1,0.55,16.6,21.5,0.771,11,31.2,42.2,29.7,8.6,6.4,12.3,19.2,120.4,-4.9,0.3,-5.2
Washington Wizards,82,19730,41.7,88.8,0.47,12,34.5,0.348,29.7,54.2,0.548,15,19.6,0.764,8.9,31,39.9,27.1,7.4,4.9,13.6,19.4,110.5,44.8,90.3,0.496,11.9,33,0.362,32.8,57.3,0.573,18.1,23.3,0.777,11.8,35.8,47.6,28.2,7.8,5.9,13.7,17.5,119.6,-9.1,-4.7,-4.4
